#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:P06971	uniprotkb:P05820	intact:EBI-1116714|uniprotkb:P71280|uniprotkb:P75665	intact:EBI-6413473	psi-mi:fhua_ecoli(display_long)|uniprotkb:JW0146(locus name)|uniprotkb:fhuA(gene name)|psi-mi:fhuA(display_short)|uniprotkb:tonA(gene name synonym)|uniprotkb:b0150(locus name)|uniprotkb:Ferric hydroxamate uptake(gene name synonym)|uniprotkb:Ferric hydroxamate receptor(gene name synonym)|uniprotkb:Ferrichrome-iron receptor(gene name synonym)	psi-mi:ceam_ecolx(display_long)|uniprotkb:cma(gene name)|psi-mi:cma(display_short)	psi-mi:"MI:0405"(competition binding)	Helbig et al. (2011)	pubmed:21148729|imex:IM-18380	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:562(ecolx)|taxid:562(Escherichia coli)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6413477|mpidb:MPIDB-INT-1522|imex:IM-18380-1	intact-miscore:0.40
uniprotkb:P33225	uniprotkb:P36662	intact:EBI-557008|uniprotkb:P78227	intact:EBI-6406226	psi-mi:tora_ecoli(display_long)|uniprotkb:torA(gene name)|psi-mi:torA(display_short)|uniprotkb:b0997(locus name)|uniprotkb:JW0982(locus name)	psi-mi:tord_ecoli(display_long)|uniprotkb:JW0983(locus name)|uniprotkb:b0998(locus name)|uniprotkb:torD(gene name)|psi-mi:torD(display_short)	psi-mi:"MI:0047"(far western blotting)	Chan et al. (2009)	pubmed:19151138|imex:IM-18310	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6406231|mpidb:MPIDB-INT-2028|imex:IM-18310-1	intact-miscore:0.79
uniprotkb:P69853	uniprotkb:P77783	intact:EBI-4406374|uniprotkb:P76174|uniprotkb:P77270	intact:EBI-6406285	psi-mi:dmsd_ecoli(display_long)|uniprotkb:dmsD(gene name)|psi-mi:dmsD(display_short)|uniprotkb:ynfI(gene name synonym)|uniprotkb:b1591(locus name)|uniprotkb:JW5262(locus name)|uniprotkb:DMSO reductase maturation protein(gene name synonym)|uniprotkb:Twin-arginine leader-binding protein DmsD(gene name synonym)	psi-mi:ynff_ecoli(display_long)|uniprotkb:JW5260(locus name)|uniprotkb:b1588(locus name)|uniprotkb:ynfF(gene name)|psi-mi:ynfF(display_short)	psi-mi:"MI:0047"(far western blotting)	Chan et al. (2009)	pubmed:19151138|imex:IM-18310	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6406281|mpidb:MPIDB-INT-2016|imex:IM-18310-6	intact-miscore:0.63
uniprotkb:P0A9I5	uniprotkb:P33937	intact:EBI-554985|uniprotkb:P33938	intact:EBI-554952|uniprotkb:P78087	psi-mi:napd_ecoli(display_long)|uniprotkb:yojF(gene name synonym)|uniprotkb:napD(gene name)|psi-mi:napD(display_short)|uniprotkb:b2207(locus name)|uniprotkb:JW2195(locus name)|uniprotkb:NapA signal peptide-binding chaperone NapD(gene name synonym)	psi-mi:napa_ecoli(display_long)|uniprotkb:yojC(gene name synonym)|uniprotkb:yojD(gene name synonym)|uniprotkb:yojE(gene name synonym)|uniprotkb:napA(gene name)|psi-mi:napA(display_short)|uniprotkb:b2206(locus name)|uniprotkb:JW2194(locus name)	psi-mi:"MI:0047"(far western blotting)	Chan et al. (2009)	pubmed:19151138|imex:IM-18310	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6406271|mpidb:MPIDB-INT-2017|imex:IM-18310-5	intact-miscore:0.90
uniprotkb:P33225	uniprotkb:P69853	intact:EBI-557008|uniprotkb:P78227	intact:EBI-4406374|uniprotkb:P76174|uniprotkb:P77270	psi-mi:tora_ecoli(display_long)|uniprotkb:torA(gene name)|psi-mi:torA(display_short)|uniprotkb:b0997(locus name)|uniprotkb:JW0982(locus name)	psi-mi:dmsd_ecoli(display_long)|uniprotkb:dmsD(gene name)|psi-mi:dmsD(display_short)|uniprotkb:ynfI(gene name synonym)|uniprotkb:b1591(locus name)|uniprotkb:JW5262(locus name)|uniprotkb:DMSO reductase maturation protein(gene name synonym)|uniprotkb:Twin-arginine leader-binding protein DmsD(gene name synonym)	psi-mi:"MI:0047"(far western blotting)	Chan et al. (2009)	pubmed:19151138|imex:IM-18310	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6477980|mpidb:MPIDB-INT-2016|imex:IM-18310-27	intact-miscore:0.40
uniprotkb:P0AF26	uniprotkb:P19319	intact:EBI-555043|uniprotkb:P11351	intact:EBI-547262|uniprotkb:P78063|uniprotkb:P78154|uniprotkb:P78155|uniprotkb:P78156	psi-mi:narj_ecoli(display_long)|uniprotkb:narJ(gene name)|psi-mi:narJ(display_short)|uniprotkb:b1226(locus name)|uniprotkb:JW1217(locus name)|uniprotkb:Redox enzyme maturation protein NarJ(gene name synonym)	psi-mi:narz_ecoli(display_long)|uniprotkb:narZ(gene name)|psi-mi:narZ(display_short)|uniprotkb:b1468(locus name)|uniprotkb:JW1463(locus name)	psi-mi:"MI:0047"(far western blotting)	Chan et al. (2009)	pubmed:19151138|imex:IM-18310	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6406251|mpidb:MPIDB-INT-2019|imex:IM-18310-3	intact-miscore:0.59
uniprotkb:P09152	uniprotkb:P0AF26	intact:EBI-547248|uniprotkb:P78294	intact:EBI-555043|uniprotkb:P11351	psi-mi:narg_ecoli(display_long)|uniprotkb:narG(gene name)|psi-mi:narG(display_short)|uniprotkb:bisD(gene name synonym)|uniprotkb:narC(gene name synonym)|uniprotkb:b1224(locus name)|uniprotkb:Nitrate reductase A subunit alpha(gene name synonym)|uniprotkb:Quinol-nitrate oxidoreductase subunit alpha(gene name synonym)|uniprotkb:JW1215(locus name)	psi-mi:narj_ecoli(display_long)|uniprotkb:narJ(gene name)|psi-mi:narJ(display_short)|uniprotkb:b1226(locus name)|uniprotkb:JW1217(locus name)|uniprotkb:Redox enzyme maturation protein NarJ(gene name synonym)	psi-mi:"MI:0047"(far western blotting)	Chan et al. (2009)	pubmed:19151138|imex:IM-18310	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6406261|mpidb:MPIDB-INT-2018|imex:IM-18310-4	intact-miscore:0.93
uniprotkb:P69853	uniprotkb:P18775	intact:EBI-4406374|uniprotkb:P76174|uniprotkb:P77270	intact:EBI-4411104	psi-mi:dmsd_ecoli(display_long)|uniprotkb:dmsD(gene name)|psi-mi:dmsD(display_short)|uniprotkb:ynfI(gene name synonym)|uniprotkb:b1591(locus name)|uniprotkb:JW5262(locus name)|uniprotkb:DMSO reductase maturation protein(gene name synonym)|uniprotkb:Twin-arginine leader-binding protein DmsD(gene name synonym)	psi-mi:dmsa_ecoli(display_long)|uniprotkb:dmsA(gene name)|psi-mi:dmsA(display_short)|uniprotkb:b0894(locus name)|uniprotkb:JW5118(locus name)	psi-mi:"MI:0047"(far western blotting)	Chan et al. (2009)	pubmed:19151138|imex:IM-18310	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6406308|mpidb:MPIDB-INT-2014|imex:IM-18310-8	intact-miscore:0.83
uniprotkb:P69853	uniprotkb:P18775	intact:EBI-4406374|uniprotkb:P76174|uniprotkb:P77270	intact:EBI-4411104	psi-mi:dmsd_ecoli(display_long)|uniprotkb:dmsD(gene name)|psi-mi:dmsD(display_short)|uniprotkb:ynfI(gene name synonym)|uniprotkb:b1591(locus name)|uniprotkb:JW5262(locus name)|uniprotkb:DMSO reductase maturation protein(gene name synonym)|uniprotkb:Twin-arginine leader-binding protein DmsD(gene name synonym)	psi-mi:dmsa_ecoli(display_long)|uniprotkb:dmsA(gene name)|psi-mi:dmsA(display_short)|uniprotkb:b0894(locus name)|uniprotkb:JW5118(locus name)	psi-mi:"MI:0047"(far western blotting)	Chan et al. (2009)	pubmed:19151138|imex:IM-18310	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6477991|mpidb:MPIDB-INT-2014|imex:IM-18310-28	intact-miscore:0.83
uniprotkb:P77374	uniprotkb:P69853	intact:EBI-556186|uniprotkb:P77291	intact:EBI-4406374|uniprotkb:P76174|uniprotkb:P77270	psi-mi:ynfe_ecoli(display_long)|uniprotkb:ynfE(gene name)|psi-mi:ynfE(display_short)|uniprotkb:b1587(locus name)|uniprotkb:JW1579(locus name)	psi-mi:dmsd_ecoli(display_long)|uniprotkb:dmsD(gene name)|psi-mi:dmsD(display_short)|uniprotkb:ynfI(gene name synonym)|uniprotkb:b1591(locus name)|uniprotkb:JW5262(locus name)|uniprotkb:DMSO reductase maturation protein(gene name synonym)|uniprotkb:Twin-arginine leader-binding protein DmsD(gene name synonym)	psi-mi:"MI:0047"(far western blotting)	Chan et al. (2009)	pubmed:19151138|imex:IM-18310	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6406298|mpidb:MPIDB-INT-2015|imex:IM-18310-7	intact-miscore:0.59
uniprotkb:P18775	uniprotkb:P69853	intact:EBI-4411104	intact:EBI-4406374|uniprotkb:P76174|uniprotkb:P77270	psi-mi:dmsa_ecoli(display_long)|uniprotkb:dmsA(gene name)|psi-mi:dmsA(display_short)|uniprotkb:b0894(locus name)|uniprotkb:JW5118(locus name)	psi-mi:dmsd_ecoli(display_long)|uniprotkb:dmsD(gene name)|psi-mi:dmsD(display_short)|uniprotkb:ynfI(gene name synonym)|uniprotkb:b1591(locus name)|uniprotkb:JW5262(locus name)|uniprotkb:DMSO reductase maturation protein(gene name synonym)|uniprotkb:Twin-arginine leader-binding protein DmsD(gene name synonym)	psi-mi:"MI:0107"(surface plasmon resonance)	Chan et al. (2009)	pubmed:19151138|imex:IM-18310	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6478007|imex:IM-18310-29|mpidb:MPIDB-INT-2014	intact-miscore:0.83
uniprotkb:P19319	uniprotkb:P19317	intact:EBI-547262|uniprotkb:P78063|uniprotkb:P78154|uniprotkb:P78155|uniprotkb:P78156	intact:EBI-555088	psi-mi:narz_ecoli(display_long)|uniprotkb:narZ(gene name)|psi-mi:narZ(display_short)|uniprotkb:b1468(locus name)|uniprotkb:JW1463(locus name)	psi-mi:narw_ecoli(display_long)|uniprotkb:narW(gene name)|psi-mi:narW(display_short)|uniprotkb:b1466(locus name)|uniprotkb:Redox enzyme maturation protein NarW(gene name synonym)|uniprotkb:JW1461(locus name)	psi-mi:"MI:0107"(surface plasmon resonance)	Chan et al. (2009)	pubmed:19151138|imex:IM-18310	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6406410|mpidb:MPIDB-INT-2035|imex:IM-18310-20	intact-miscore:0.59
uniprotkb:P33225	uniprotkb:P36662	intact:EBI-557008|uniprotkb:P78227	intact:EBI-6406226	psi-mi:tora_ecoli(display_long)|uniprotkb:torA(gene name)|psi-mi:torA(display_short)|uniprotkb:b0997(locus name)|uniprotkb:JW0982(locus name)	psi-mi:tord_ecoli(display_long)|uniprotkb:JW0983(locus name)|uniprotkb:b0998(locus name)|uniprotkb:torD(gene name)|psi-mi:torD(display_short)	psi-mi:"MI:0107"(surface plasmon resonance)	Chan et al. (2009)	pubmed:19151138|imex:IM-18310	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6406402|mpidb:MPIDB-INT-2036|imex:IM-18310-19	intact-miscore:0.79
uniprotkb:P77374	uniprotkb:P69853	intact:EBI-556186|uniprotkb:P77291	intact:EBI-4406374|uniprotkb:P76174|uniprotkb:P77270	psi-mi:ynfe_ecoli(display_long)|uniprotkb:ynfE(gene name)|psi-mi:ynfE(display_short)|uniprotkb:b1587(locus name)|uniprotkb:JW1579(locus name)	psi-mi:dmsd_ecoli(display_long)|uniprotkb:dmsD(gene name)|psi-mi:dmsD(display_short)|uniprotkb:ynfI(gene name synonym)|uniprotkb:b1591(locus name)|uniprotkb:JW5262(locus name)|uniprotkb:DMSO reductase maturation protein(gene name synonym)|uniprotkb:Twin-arginine leader-binding protein DmsD(gene name synonym)	psi-mi:"MI:0107"(surface plasmon resonance)	Chan et al. (2009)	pubmed:19151138|imex:IM-18310	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6406452|mpidb:MPIDB-INT-2030|imex:IM-18310-25	intact-miscore:0.59
uniprotkb:P33937	uniprotkb:P0A9I5	intact:EBI-554952|uniprotkb:P78087	intact:EBI-554985|uniprotkb:P33938	psi-mi:napa_ecoli(display_long)|uniprotkb:yojC(gene name synonym)|uniprotkb:yojD(gene name synonym)|uniprotkb:yojE(gene name synonym)|uniprotkb:napA(gene name)|psi-mi:napA(display_short)|uniprotkb:b2206(locus name)|uniprotkb:JW2194(locus name)	psi-mi:napd_ecoli(display_long)|uniprotkb:yojF(gene name synonym)|uniprotkb:napD(gene name)|psi-mi:napD(display_short)|uniprotkb:b2207(locus name)|uniprotkb:JW2195(locus name)|uniprotkb:NapA signal peptide-binding chaperone NapD(gene name synonym)	psi-mi:"MI:0107"(surface plasmon resonance)	Chan et al. (2009)	pubmed:19151138|imex:IM-18310	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6406444|mpidb:MPIDB-INT-2031|imex:IM-18310-24	intact-miscore:0.90
uniprotkb:P09152	uniprotkb:P19317	intact:EBI-547248|uniprotkb:P78294	intact:EBI-555088	psi-mi:narg_ecoli(display_long)|uniprotkb:narG(gene name)|psi-mi:narG(display_short)|uniprotkb:bisD(gene name synonym)|uniprotkb:narC(gene name synonym)|uniprotkb:b1224(locus name)|uniprotkb:Nitrate reductase A subunit alpha(gene name synonym)|uniprotkb:Quinol-nitrate oxidoreductase subunit alpha(gene name synonym)|uniprotkb:JW1215(locus name)	psi-mi:narw_ecoli(display_long)|uniprotkb:narW(gene name)|psi-mi:narW(display_short)|uniprotkb:b1466(locus name)|uniprotkb:Redox enzyme maturation protein NarW(gene name synonym)|uniprotkb:JW1461(locus name)	psi-mi:"MI:0107"(surface plasmon resonance)	Chan et al. (2009)	pubmed:19151138|imex:IM-18310	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6406418|mpidb:MPIDB-INT-2034|imex:IM-18310-21	intact-miscore:0.80
uniprotkb:P19319	uniprotkb:P0AF26	intact:EBI-547262|uniprotkb:P78063|uniprotkb:P78154|uniprotkb:P78155|uniprotkb:P78156	intact:EBI-555043|uniprotkb:P11351	psi-mi:narz_ecoli(display_long)|uniprotkb:narZ(gene name)|psi-mi:narZ(display_short)|uniprotkb:b1468(locus name)|uniprotkb:JW1463(locus name)	psi-mi:narj_ecoli(display_long)|uniprotkb:narJ(gene name)|psi-mi:narJ(display_short)|uniprotkb:b1226(locus name)|uniprotkb:JW1217(locus name)|uniprotkb:Redox enzyme maturation protein NarJ(gene name synonym)	psi-mi:"MI:0107"(surface plasmon resonance)	Chan et al. (2009)	pubmed:19151138|imex:IM-18310	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6406426|mpidb:MPIDB-INT-2033|imex:IM-18310-22	intact-miscore:0.59
uniprotkb:P0AF26	uniprotkb:P09152	intact:EBI-555043|uniprotkb:P11351	intact:EBI-547248|uniprotkb:P78294	psi-mi:narj_ecoli(display_long)|uniprotkb:narJ(gene name)|psi-mi:narJ(display_short)|uniprotkb:b1226(locus name)|uniprotkb:JW1217(locus name)|uniprotkb:Redox enzyme maturation protein NarJ(gene name synonym)	psi-mi:narg_ecoli(display_long)|uniprotkb:narG(gene name)|psi-mi:narG(display_short)|uniprotkb:bisD(gene name synonym)|uniprotkb:narC(gene name synonym)|uniprotkb:b1224(locus name)|uniprotkb:Nitrate reductase A subunit alpha(gene name synonym)|uniprotkb:Quinol-nitrate oxidoreductase subunit alpha(gene name synonym)|uniprotkb:JW1215(locus name)	psi-mi:"MI:0107"(surface plasmon resonance)	Chan et al. (2009)	pubmed:19151138|imex:IM-18310	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6406434|mpidb:MPIDB-INT-2032|imex:IM-18310-23	intact-miscore:0.93
uniprotkb:P0A6G7	uniprotkb:P0A6H1	intact:EBI-370625|uniprotkb:P19245|uniprotkb:Q2MBY9	intact:EBI-547386|uniprotkb:P33138|uniprotkb:Q2MBY8	psi-mi:clpp_ecoli(display_long)|uniprotkb:clpP(gene name)|psi-mi:clpP(display_short)|uniprotkb:lopP(gene name synonym)|uniprotkb:Endopeptidase Clp(gene name synonym)|uniprotkb:Caseinolytic protease(gene name synonym)|uniprotkb:Protease Ti(gene name synonym)|uniprotkb:Heat shock protein F21.5(gene name synonym)|uniprotkb:b0437(locus name)|uniprotkb:JW0427(locus name)	psi-mi:clpx_ecoli(display_long)|uniprotkb:clpX(gene name)|psi-mi:clpX(display_short)|uniprotkb:lopC(gene name synonym)|uniprotkb:b0438(locus name)|uniprotkb:JW0428(locus name)|uniprotkb:ATP-dependent unfoldase ClpX(gene name synonym)	psi-mi:"MI:0435"(protease assay)	Pruteanu et al. (2009)	pubmed:19183285|imex:IM-18264	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0570"(protein cleavage)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6406719|mpidb:MPIDB-INT-330|imex:IM-18264-2	intact-miscore:0.79
uniprotkb:P0A6G7	uniprotkb:P0A698	intact:EBI-370625|uniprotkb:P19245|uniprotkb:Q2MBY9	intact:EBI-552091|uniprotkb:P07671|uniprotkb:P76788|uniprotkb:Q2M6P6	psi-mi:clpp_ecoli(display_long)|uniprotkb:clpP(gene name)|psi-mi:clpP(display_short)|uniprotkb:lopP(gene name synonym)|uniprotkb:Endopeptidase Clp(gene name synonym)|uniprotkb:Caseinolytic protease(gene name synonym)|uniprotkb:Protease Ti(gene name synonym)|uniprotkb:Heat shock protein F21.5(gene name synonym)|uniprotkb:b0437(locus name)|uniprotkb:JW0427(locus name)	psi-mi:uvra_ecoli(display_long)|uniprotkb:uvrA(gene name)|psi-mi:uvrA(display_short)|uniprotkb:dinE(gene name synonym)|uniprotkb:b4058(locus name)|uniprotkb:Excinuclease ABC subunit A(gene name synonym)|uniprotkb:JW4019(locus name)	psi-mi:"MI:0435"(protease assay)	Pruteanu et al. (2009)	pubmed:19183285|imex:IM-18264	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0570"(protein cleavage)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6406719|mpidb:MPIDB-INT-330|imex:IM-18264-2	intact-miscore:0.44
uniprotkb:P0A6G7	uniprotkb:P0A6H1	intact:EBI-370625|uniprotkb:P19245|uniprotkb:Q2MBY9	intact:EBI-547386|uniprotkb:P33138|uniprotkb:Q2MBY8	psi-mi:clpp_ecoli(display_long)|uniprotkb:clpP(gene name)|psi-mi:clpP(display_short)|uniprotkb:lopP(gene name synonym)|uniprotkb:Endopeptidase Clp(gene name synonym)|uniprotkb:Caseinolytic protease(gene name synonym)|uniprotkb:Protease Ti(gene name synonym)|uniprotkb:Heat shock protein F21.5(gene name synonym)|uniprotkb:b0437(locus name)|uniprotkb:JW0427(locus name)	psi-mi:clpx_ecoli(display_long)|uniprotkb:clpX(gene name)|psi-mi:clpX(display_short)|uniprotkb:lopC(gene name synonym)|uniprotkb:b0438(locus name)|uniprotkb:JW0428(locus name)|uniprotkb:ATP-dependent unfoldase ClpX(gene name synonym)	psi-mi:"MI:0435"(protease assay)	Pruteanu et al. (2009)	pubmed:19183285|imex:IM-18264	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0570"(protein cleavage)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6478417|imex:IM-18264-3|mpidb:MPIDB-INT-330	intact-miscore:0.79
uniprotkb:P0A6G7	uniprotkb:P0A698	intact:EBI-370625|uniprotkb:P19245|uniprotkb:Q2MBY9	intact:EBI-552091|uniprotkb:P07671|uniprotkb:P76788|uniprotkb:Q2M6P6	psi-mi:clpp_ecoli(display_long)|uniprotkb:clpP(gene name)|psi-mi:clpP(display_short)|uniprotkb:lopP(gene name synonym)|uniprotkb:Endopeptidase Clp(gene name synonym)|uniprotkb:Caseinolytic protease(gene name synonym)|uniprotkb:Protease Ti(gene name synonym)|uniprotkb:Heat shock protein F21.5(gene name synonym)|uniprotkb:b0437(locus name)|uniprotkb:JW0427(locus name)	psi-mi:uvra_ecoli(display_long)|uniprotkb:uvrA(gene name)|psi-mi:uvrA(display_short)|uniprotkb:dinE(gene name synonym)|uniprotkb:b4058(locus name)|uniprotkb:Excinuclease ABC subunit A(gene name synonym)|uniprotkb:JW4019(locus name)	psi-mi:"MI:0435"(protease assay)	Pruteanu et al. (2009)	pubmed:19183285|imex:IM-18264	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0570"(protein cleavage)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6478417|imex:IM-18264-3|mpidb:MPIDB-INT-330	intact-miscore:0.44
uniprotkb:P0A6G7	uniprotkb:P0A8F8	intact:EBI-370625|uniprotkb:P19245|uniprotkb:Q2MBY9	intact:EBI-552176|uniprotkb:P07025	psi-mi:clpp_ecoli(display_long)|uniprotkb:clpP(gene name)|psi-mi:clpP(display_short)|uniprotkb:lopP(gene name synonym)|uniprotkb:Endopeptidase Clp(gene name synonym)|uniprotkb:Caseinolytic protease(gene name synonym)|uniprotkb:Protease Ti(gene name synonym)|uniprotkb:Heat shock protein F21.5(gene name synonym)|uniprotkb:b0437(locus name)|uniprotkb:JW0427(locus name)	psi-mi:uvrb_ecoli(display_long)|uniprotkb:uvrB(gene name)|psi-mi:uvrB(display_short)|uniprotkb:b0779(locus name)|uniprotkb:Excinuclease ABC subunit B(gene name synonym)|uniprotkb:JW0762(locus name)	psi-mi:"MI:0435"(protease assay)	Pruteanu et al. (2009)	pubmed:19183285|imex:IM-18264	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0570"(protein cleavage)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6478417|imex:IM-18264-3|mpidb:MPIDB-INT-330	intact-miscore:0.44
intact:EBI-6481025	uniprotkb:Q47149	-	intact:EBI-552648	psi-mi:dinj_ecoli_dna(display_short)|psi-mi:EBI-6481025(display_long)	psi-mi:yafq_ecoli(display_long)|uniprotkb:yafQ(gene name)|psi-mi:yafQ(display_short)|uniprotkb:b0225(locus name)|uniprotkb:JW0215(locus name)|uniprotkb:Endoribonuclease YafQ(gene name synonym)|uniprotkb:Toxin YafQ(gene name synonym)	psi-mi:"MI:0413"(electrophoretic mobility shift assay)	Prysak et al. (2009)	pubmed:19210620|imex:IM-18269	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6406958|mpidb:MPIDB-INT-409|imex:IM-18269-1	intact-miscore:0.40
intact:EBI-6481025	uniprotkb:Q47150	-	intact:EBI-6406953	psi-mi:dinj_ecoli_dna(display_short)|psi-mi:EBI-6481025(display_long)	psi-mi:dinj_ecoli(display_long)|uniprotkb:dinJ(gene name)|psi-mi:dinJ(display_short)|uniprotkb:JW0216(locus name)|uniprotkb:b0226(locus name)	psi-mi:"MI:0413"(electrophoretic mobility shift assay)	Prysak et al. (2009)	pubmed:19210620|imex:IM-18269	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6406958|mpidb:MPIDB-INT-409|imex:IM-18269-1	intact-miscore:0.40
