#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Expansion method(s)	Biological role(s) interactor A	Biological role(s) interactor B	Experimental role(s) interactor A	Experimental role(s) interactor B	Type(s) interactor A	Type(s) interactor B	Xref(s) interactor A	Xref(s) interactor B	Interaction Xref(s)	Annotation(s) interactor A	Annotation(s) interactor B	Interaction annotation(s)	Host organism(s)	Interaction parameter(s)	Creation date	Update date	Checksum(s) interactor A	Checksum(s) interactor B	Interaction Checksum(s)	Negative	Feature(s) interactor A	Feature(s) interactor B	Stoichiometry(s) interactor A	Stoichiometry(s) interactor B	Identification method participant A	Identification method participant B
uniprotkb:Q02MM2	uniprotkb:Q02MM0	intact:EBI-15924852	intact:EBI-15924831	psi-mi:cas6_pseab(display_long)|uniprotkb:cas6f(gene name)|psi-mi:cas6f(display_short)|uniprotkb:csy4(gene name synonym)|uniprotkb:PA14_33300(locus name)	psi-mi:csy2_pseab(display_long)|uniprotkb:csy2(gene name)|psi-mi:csy2(display_short)|uniprotkb:PA14_33320(locus name)	psi-mi:"MI:0071"(molecular sieving)	Bondy-Denomy et al. (2015)	pubmed:26416740|doi:10.1038/nature15254|imex:IM-24907	taxid:208963(pseab)|taxid:208963("Pseudomonas aeruginosa (strain UCBPP-PA14)")	taxid:208963(pseab)|taxid:208963("Pseudomonas aeruginosa (strain UCBPP-PA14)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0465"(DIP)	intact:EBI-16178873|imex:IM-24907-11|dip:DIP-199896E	intact-miscore:0.73	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	rcsb pdb:5UZ9|rcsb pdb:6B44|rcsb pdb:6B45|rcsb pdb:6B46|rcsb pdb:6B47|rcsb pdb:6B48|refseq:WP_016254196.1|rcsb pdb:2XLI|rcsb pdb:2XLJ|rcsb pdb:2XLK|rcsb pdb:4AL5|rcsb pdb:4AL6|rcsb pdb:4AL7|go:"GO:0004519"(endonuclease activity)|go:"GO:0003723"(RNA binding)|go:"GO:0043571"(maintenance of CRISPR repeat elements)|interpro:IPR013396(CRISPR-associated protein Csy4)|dip:DIP-59681N	rcsb pdb:5UZ9|rcsb pdb:6B44|rcsb pdb:6B45|rcsb pdb:6B47|rcsb pdb:6B48|refseq:WP_003116910.1|interpro:IPR013398(CRISPR-associated protein Csy2)|dip:DIP-59679N	psi-mi:"MI:0465"(dip)	comment:"\"DIP protein Q02MM2 original sequence version: 26\""|comment:"\"DIP protein Q02MM2 original sequence version: 43\""	comment:"\"DIP protein Q02MM0 original sequence version: 25\""|comment:"\"DIP protein Q02MM0 original sequence version: 40\""	curation depth:imex curation|full coverage:Only protein-protein interactions	taxid:-1(in vitro)|taxid:-1(In vitro)	-	2017/08/08	2017/08/10	rogid:+FGXgDideJCOZAD1s+nUtC2YADI208963	rogid:OOdLe6rO7fe307k4AyGvmQE+8cg208963	rigid:JJi5+9kVd4cJhAhwkp8osUpYnbQ	false	-	-	-	-	psi-mi:"MI:0818"(molecular weight estimation by coomasie staining)	psi-mi:"MI:0818"(molecular weight estimation by coomasie staining)
uniprotkb:Q02MM2	uniprotkb:Q02MM1	intact:EBI-15924852	intact:EBI-15924841	psi-mi:cas6_pseab(display_long)|uniprotkb:cas6f(gene name)|psi-mi:cas6f(display_short)|uniprotkb:csy4(gene name synonym)|uniprotkb:PA14_33300(locus name)	psi-mi:csy3_pseab(display_long)|uniprotkb:csy3(gene name)|psi-mi:csy3(display_short)|uniprotkb:csy1-3(gene name synonym)|uniprotkb:PA14_33310(locus name)	psi-mi:"MI:0071"(molecular sieving)	Bondy-Denomy et al. (2015)	pubmed:26416740|doi:10.1038/nature15254|imex:IM-24907	taxid:208963(pseab)|taxid:208963("Pseudomonas aeruginosa (strain UCBPP-PA14)")	taxid:208963(pseab)|taxid:208963("Pseudomonas aeruginosa (strain UCBPP-PA14)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0465"(DIP)	intact:EBI-16178873|imex:IM-24907-11|dip:DIP-199896E	intact-miscore:0.73	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	rcsb pdb:5UZ9|rcsb pdb:6B44|rcsb pdb:6B45|rcsb pdb:6B46|rcsb pdb:6B47|rcsb pdb:6B48|refseq:WP_016254196.1|rcsb pdb:2XLI|rcsb pdb:2XLJ|rcsb pdb:2XLK|rcsb pdb:4AL5|rcsb pdb:4AL6|rcsb pdb:4AL7|go:"GO:0004519"(endonuclease activity)|go:"GO:0003723"(RNA binding)|go:"GO:0043571"(maintenance of CRISPR repeat elements)|interpro:IPR013396(CRISPR-associated protein Csy4)|dip:DIP-59681N	rcsb pdb:5XLO|rcsb pdb:5XLP|rcsb pdb:5UZ9|rcsb pdb:6B47|rcsb pdb:6B48|rcsb pdb:6B44|rcsb pdb:6B45|rcsb pdb:6B46|refseq:WP_003139222.1|interpro:IPR013399(CRISPR-associated protein Csy3)|dip:DIP-59680N	psi-mi:"MI:0465"(dip)	comment:"\"DIP protein Q02MM2 original sequence version: 26\""|comment:"\"DIP protein Q02MM2 original sequence version: 43\""	comment:"\"DIP protein Q02MM1 original sequence version: 28\""|comment:"\"DIP protein Q02MM1 original sequence version: 45\""	curation depth:imex curation|full coverage:Only protein-protein interactions	taxid:-1(in vitro)|taxid:-1(In vitro)	-	2017/08/08	2017/08/10	rogid:+FGXgDideJCOZAD1s+nUtC2YADI208963	rogid:8bH83Af+fS+NAMQdTWh3bqaELIQ208963	rigid:JJi5+9kVd4cJhAhwkp8osUpYnbQ	false	-	-	-	-	psi-mi:"MI:0818"(molecular weight estimation by coomasie staining)	psi-mi:"MI:0818"(molecular weight estimation by coomasie staining)
uniprotkb:Q02ML9	uniprotkb:Q02MM0	intact:EBI-15924821	intact:EBI-15924831	psi-mi:csy1_pseab(display_long)|uniprotkb:csy1(gene name)|psi-mi:csy1(display_short)|uniprotkb:PA14_33330(locus name)	psi-mi:csy2_pseab(display_long)|uniprotkb:csy2(gene name)|psi-mi:csy2(display_short)|uniprotkb:PA14_33320(locus name)	psi-mi:"MI:0071"(molecular sieving)	Bondy-Denomy et al. (2015)	pubmed:26416740|doi:10.1038/nature15254|imex:IM-24907	taxid:208963(pseab)|taxid:208963("Pseudomonas aeruginosa (strain UCBPP-PA14)")	taxid:208963(pseab)|taxid:208963("Pseudomonas aeruginosa (strain UCBPP-PA14)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0465"(DIP)	intact:EBI-16178854|imex:IM-24907-10|dip:DIP-199903E	intact-miscore:0.70	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	rcsb pdb:5UZ9|rcsb pdb:6B44|rcsb pdb:6B45|rcsb pdb:6B47|rcsb pdb:6B48|refseq:WP_003139224.1|interpro:IPR013397(CRISPR-associated protein Csy1)|dip:DIP-59678N	rcsb pdb:5UZ9|rcsb pdb:6B44|rcsb pdb:6B45|rcsb pdb:6B47|rcsb pdb:6B48|refseq:WP_003116910.1|interpro:IPR013398(CRISPR-associated protein Csy2)|dip:DIP-59679N	psi-mi:"MI:0465"(dip)	comment:"\"DIP protein Q02ML9 original sequence version: 28\""|comment:"\"DIP protein Q02ML9 original sequence version: 44\""	comment:"\"DIP protein Q02MM0 original sequence version: 25\""|comment:"\"DIP protein Q02MM0 original sequence version: 40\""	curation depth:imex curation|full coverage:Only protein-protein interactions	taxid:-1(in vitro)|taxid:-1(In vitro)	-	2017/08/08	2017/08/10	rogid:98m9LNvpxc6XFOh3Rf4PhwJf+o0208963	rogid:OOdLe6rO7fe307k4AyGvmQE+8cg208963	rigid:v/aem5tippATC57AnmzI1Y4meUI	false	-	-	-	-	psi-mi:"MI:0818"(molecular weight estimation by coomasie staining)	psi-mi:"MI:0818"(molecular weight estimation by coomasie staining)
uniprotkb:Q02ML9	uniprotkb:Q02MM1	intact:EBI-15924821	intact:EBI-15924841	psi-mi:csy1_pseab(display_long)|uniprotkb:csy1(gene name)|psi-mi:csy1(display_short)|uniprotkb:PA14_33330(locus name)	psi-mi:csy3_pseab(display_long)|uniprotkb:csy3(gene name)|psi-mi:csy3(display_short)|uniprotkb:csy1-3(gene name synonym)|uniprotkb:PA14_33310(locus name)	psi-mi:"MI:0071"(molecular sieving)	Bondy-Denomy et al. (2015)	pubmed:26416740|doi:10.1038/nature15254|imex:IM-24907	taxid:208963(pseab)|taxid:208963("Pseudomonas aeruginosa (strain UCBPP-PA14)")	taxid:208963(pseab)|taxid:208963("Pseudomonas aeruginosa (strain UCBPP-PA14)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0465"(DIP)	intact:EBI-16178854|imex:IM-24907-10|dip:DIP-199903E	intact-miscore:0.56	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	rcsb pdb:5UZ9|rcsb pdb:6B44|rcsb pdb:6B45|rcsb pdb:6B47|rcsb pdb:6B48|refseq:WP_003139224.1|interpro:IPR013397(CRISPR-associated protein Csy1)|dip:DIP-59678N	rcsb pdb:5XLO|rcsb pdb:5XLP|rcsb pdb:5UZ9|rcsb pdb:6B47|rcsb pdb:6B48|rcsb pdb:6B44|rcsb pdb:6B45|rcsb pdb:6B46|refseq:WP_003139222.1|interpro:IPR013399(CRISPR-associated protein Csy3)|dip:DIP-59680N	psi-mi:"MI:0465"(dip)	comment:"\"DIP protein Q02ML9 original sequence version: 28\""|comment:"\"DIP protein Q02ML9 original sequence version: 44\""	comment:"\"DIP protein Q02MM1 original sequence version: 28\""|comment:"\"DIP protein Q02MM1 original sequence version: 45\""	curation depth:imex curation|full coverage:Only protein-protein interactions	taxid:-1(in vitro)|taxid:-1(In vitro)	-	2017/08/08	2017/08/10	rogid:98m9LNvpxc6XFOh3Rf4PhwJf+o0208963	rogid:8bH83Af+fS+NAMQdTWh3bqaELIQ208963	rigid:v/aem5tippATC57AnmzI1Y4meUI	false	-	-	-	-	psi-mi:"MI:0818"(molecular weight estimation by coomasie staining)	psi-mi:"MI:0818"(molecular weight estimation by coomasie staining)
uniprotkb:Q02MM2	uniprotkb:Q02ML9	intact:EBI-15924852	intact:EBI-15924821	psi-mi:cas6_pseab(display_long)|uniprotkb:cas6f(gene name)|psi-mi:cas6f(display_short)|uniprotkb:csy4(gene name synonym)|uniprotkb:PA14_33300(locus name)	psi-mi:csy1_pseab(display_long)|uniprotkb:csy1(gene name)|psi-mi:csy1(display_short)|uniprotkb:PA14_33330(locus name)	psi-mi:"MI:0071"(molecular sieving)	Bondy-Denomy et al. (2015)	pubmed:26416740|doi:10.1038/nature15254|imex:IM-24907	taxid:208963(pseab)|taxid:208963("Pseudomonas aeruginosa (strain UCBPP-PA14)")	taxid:208963(pseab)|taxid:208963("Pseudomonas aeruginosa (strain UCBPP-PA14)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0465"(DIP)	intact:EBI-16178982|imex:IM-24907-15|dip:DIP-199901E	intact-miscore:0.73	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	rcsb pdb:5UZ9|rcsb pdb:6B44|rcsb pdb:6B45|rcsb pdb:6B46|rcsb pdb:6B47|rcsb pdb:6B48|refseq:WP_016254196.1|rcsb pdb:2XLI|rcsb pdb:2XLJ|rcsb pdb:2XLK|rcsb pdb:4AL5|rcsb pdb:4AL6|rcsb pdb:4AL7|go:"GO:0004519"(endonuclease activity)|go:"GO:0003723"(RNA binding)|go:"GO:0043571"(maintenance of CRISPR repeat elements)|interpro:IPR013396(CRISPR-associated protein Csy4)|dip:DIP-59681N	rcsb pdb:5UZ9|rcsb pdb:6B44|rcsb pdb:6B45|rcsb pdb:6B47|rcsb pdb:6B48|refseq:WP_003139224.1|interpro:IPR013397(CRISPR-associated protein Csy1)|dip:DIP-59678N	psi-mi:"MI:0465"(dip)	comment:"\"DIP protein Q02MM2 original sequence version: 26\""|comment:"\"DIP protein Q02MM2 original sequence version: 43\""	comment:"\"DIP protein Q02ML9 original sequence version: 28\""|comment:"\"DIP protein Q02ML9 original sequence version: 44\""	curation depth:imex curation|full coverage:Only protein-protein interactions	taxid:-1(in vitro)|taxid:-1(In vitro)	-	2017/08/08	2017/08/10	rogid:+FGXgDideJCOZAD1s+nUtC2YADI208963	rogid:98m9LNvpxc6XFOh3Rf4PhwJf+o0208963	rigid:KK5loJe2We7yphnDkPc3j/gt+ks	false	-	-	-	-	psi-mi:"MI:0816"(molecular weight estimation by staining)	psi-mi:"MI:0816"(molecular weight estimation by staining)
uniprotkb:Q02MM2	uniprotkb:Q02MM0	intact:EBI-15924852	intact:EBI-15924831	psi-mi:cas6_pseab(display_long)|uniprotkb:cas6f(gene name)|psi-mi:cas6f(display_short)|uniprotkb:csy4(gene name synonym)|uniprotkb:PA14_33300(locus name)	psi-mi:csy2_pseab(display_long)|uniprotkb:csy2(gene name)|psi-mi:csy2(display_short)|uniprotkb:PA14_33320(locus name)	psi-mi:"MI:0071"(molecular sieving)	Bondy-Denomy et al. (2015)	pubmed:26416740|doi:10.1038/nature15254|imex:IM-24907	taxid:208963(pseab)|taxid:208963("Pseudomonas aeruginosa (strain UCBPP-PA14)")	taxid:208963(pseab)|taxid:208963("Pseudomonas aeruginosa (strain UCBPP-PA14)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0465"(DIP)	intact:EBI-16178982|imex:IM-24907-15|dip:DIP-199901E	intact-miscore:0.73	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	rcsb pdb:5UZ9|rcsb pdb:6B44|rcsb pdb:6B45|rcsb pdb:6B46|rcsb pdb:6B47|rcsb pdb:6B48|refseq:WP_016254196.1|rcsb pdb:2XLI|rcsb pdb:2XLJ|rcsb pdb:2XLK|rcsb pdb:4AL5|rcsb pdb:4AL6|rcsb pdb:4AL7|go:"GO:0004519"(endonuclease activity)|go:"GO:0003723"(RNA binding)|go:"GO:0043571"(maintenance of CRISPR repeat elements)|interpro:IPR013396(CRISPR-associated protein Csy4)|dip:DIP-59681N	rcsb pdb:5UZ9|rcsb pdb:6B44|rcsb pdb:6B45|rcsb pdb:6B47|rcsb pdb:6B48|refseq:WP_003116910.1|interpro:IPR013398(CRISPR-associated protein Csy2)|dip:DIP-59679N	psi-mi:"MI:0465"(dip)	comment:"\"DIP protein Q02MM2 original sequence version: 26\""|comment:"\"DIP protein Q02MM2 original sequence version: 43\""	comment:"\"DIP protein Q02MM0 original sequence version: 25\""|comment:"\"DIP protein Q02MM0 original sequence version: 40\""	curation depth:imex curation|full coverage:Only protein-protein interactions	taxid:-1(in vitro)|taxid:-1(In vitro)	-	2017/08/08	2017/08/10	rogid:+FGXgDideJCOZAD1s+nUtC2YADI208963	rogid:OOdLe6rO7fe307k4AyGvmQE+8cg208963	rigid:KK5loJe2We7yphnDkPc3j/gt+ks	false	-	-	-	-	psi-mi:"MI:0816"(molecular weight estimation by staining)	psi-mi:"MI:0816"(molecular weight estimation by staining)
uniprotkb:Q02MM2	uniprotkb:Q02MM1	intact:EBI-15924852	intact:EBI-15924841	psi-mi:cas6_pseab(display_long)|uniprotkb:cas6f(gene name)|psi-mi:cas6f(display_short)|uniprotkb:csy4(gene name synonym)|uniprotkb:PA14_33300(locus name)	psi-mi:csy3_pseab(display_long)|uniprotkb:csy3(gene name)|psi-mi:csy3(display_short)|uniprotkb:csy1-3(gene name synonym)|uniprotkb:PA14_33310(locus name)	psi-mi:"MI:0071"(molecular sieving)	Bondy-Denomy et al. (2015)	pubmed:26416740|doi:10.1038/nature15254|imex:IM-24907	taxid:208963(pseab)|taxid:208963("Pseudomonas aeruginosa (strain UCBPP-PA14)")	taxid:208963(pseab)|taxid:208963("Pseudomonas aeruginosa (strain UCBPP-PA14)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0465"(DIP)	intact:EBI-16178982|imex:IM-24907-15|dip:DIP-199901E	intact-miscore:0.73	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	rcsb pdb:5UZ9|rcsb pdb:6B44|rcsb pdb:6B45|rcsb pdb:6B46|rcsb pdb:6B47|rcsb pdb:6B48|refseq:WP_016254196.1|rcsb pdb:2XLI|rcsb pdb:2XLJ|rcsb pdb:2XLK|rcsb pdb:4AL5|rcsb pdb:4AL6|rcsb pdb:4AL7|go:"GO:0004519"(endonuclease activity)|go:"GO:0003723"(RNA binding)|go:"GO:0043571"(maintenance of CRISPR repeat elements)|interpro:IPR013396(CRISPR-associated protein Csy4)|dip:DIP-59681N	rcsb pdb:5XLO|rcsb pdb:5XLP|rcsb pdb:5UZ9|rcsb pdb:6B47|rcsb pdb:6B48|rcsb pdb:6B44|rcsb pdb:6B45|rcsb pdb:6B46|refseq:WP_003139222.1|interpro:IPR013399(CRISPR-associated protein Csy3)|dip:DIP-59680N	psi-mi:"MI:0465"(dip)	comment:"\"DIP protein Q02MM2 original sequence version: 26\""|comment:"\"DIP protein Q02MM2 original sequence version: 43\""	comment:"\"DIP protein Q02MM1 original sequence version: 28\""|comment:"\"DIP protein Q02MM1 original sequence version: 45\""	curation depth:imex curation|full coverage:Only protein-protein interactions	taxid:-1(in vitro)|taxid:-1(In vitro)	-	2017/08/08	2017/08/10	rogid:+FGXgDideJCOZAD1s+nUtC2YADI208963	rogid:8bH83Af+fS+NAMQdTWh3bqaELIQ208963	rigid:KK5loJe2We7yphnDkPc3j/gt+ks	false	-	-	-	-	psi-mi:"MI:0816"(molecular weight estimation by staining)	psi-mi:"MI:0816"(molecular weight estimation by staining)
uniprotkb:Q02ML7	uniprotkb:Q02ML7	intact:EBI-15788664	intact:EBI-15788664	psi-mi:cas1_pseab(display_long)|uniprotkb:cas1(gene name)|psi-mi:cas1(display_short)|uniprotkb:PA14_33350(locus name)	psi-mi:cas1_pseab(display_long)|uniprotkb:cas1(gene name)|psi-mi:cas1(display_short)|uniprotkb:PA14_33350(locus name)	psi-mi:"MI:0071"(molecular sieving)	Wiedenheft et al. (2009)	pubmed:19523907|doi:10.1016/j.str.2009.03.019|imex:IM-11762	taxid:208963(pseab)|taxid:208963("Pseudomonas aeruginosa (strain UCBPP-PA14)")	taxid:208963(pseab)|taxid:208963("Pseudomonas aeruginosa (strain UCBPP-PA14)")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0465"(DIP)	intact:EBI-15788680|imex:IM-11762-1|dip:DIP-102532E	intact-miscore:0.56	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	go:"GO:0042802"(identical protein binding)|refseq:WP_003139228.1|rcsb pdb:3GOD|go:"GO:0003677"(DNA binding)|go:"GO:0004520"(endodeoxyribonuclease activity)|go:"GO:0046872"(metal ion binding)|go:"GO:0051607"(defense response to virus)|go:"GO:0043571"(maintenance of CRISPR repeat elements)|interpro:IPR002729(Protein of unknown function DUF48)|interpro:IPR019857|dip:DIP-48307N	go:"GO:0042802"(identical protein binding)|refseq:WP_003139228.1|rcsb pdb:3GOD|go:"GO:0003677"(DNA binding)|go:"GO:0004520"(endodeoxyribonuclease activity)|go:"GO:0046872"(metal ion binding)|go:"GO:0051607"(defense response to virus)|go:"GO:0043571"(maintenance of CRISPR repeat elements)|interpro:IPR002729(Protein of unknown function DUF48)|interpro:IPR019857|dip:DIP-48307N	psi-mi:"MI:0465"(dip)	comment:"\"DIP protein Q02ML7 original sequence version: 17\""	comment:"\"DIP protein Q02ML7 original sequence version: 17\""	curation depth:imex curation|full coverage:Only protein-protein interactions	taxid:562(ecolx)|taxid:562(Escherichia coli)	-	2017/08/06	2017/08/10	rogid:TlEEJREvhb0X6fjXdraP5xCiYoo208963	rogid:TlEEJREvhb0X6fjXdraP5xCiYoo208963	rigid:DVtPlBwkTsJwRwOIByZQjwJtJLI	false	-	-	-	0	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprotkb:Q02ML7	uniprotkb:Q02ML7	intact:EBI-15788664	intact:EBI-15788664	psi-mi:cas1_pseab(display_long)|uniprotkb:cas1(gene name)|psi-mi:cas1(display_short)|uniprotkb:PA14_33350(locus name)	psi-mi:cas1_pseab(display_long)|uniprotkb:cas1(gene name)|psi-mi:cas1(display_short)|uniprotkb:PA14_33350(locus name)	psi-mi:"MI:0114"(x-ray crystallography)	Wiedenheft et al. (2009)	pubmed:19523907|doi:10.1016/j.str.2009.03.019|imex:IM-11762	taxid:208963(pseab)|taxid:208963("Pseudomonas aeruginosa (strain UCBPP-PA14)")	taxid:208963(pseab)|taxid:208963("Pseudomonas aeruginosa (strain UCBPP-PA14)")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0465"(DIP)	intact:EBI-15788697|imex:IM-11762-2|dip:DIP-102532E	intact-miscore:0.56	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	go:"GO:0042802"(identical protein binding)|refseq:WP_003139228.1|rcsb pdb:3GOD|go:"GO:0003677"(DNA binding)|go:"GO:0004520"(endodeoxyribonuclease activity)|go:"GO:0046872"(metal ion binding)|go:"GO:0051607"(defense response to virus)|go:"GO:0043571"(maintenance of CRISPR repeat elements)|interpro:IPR002729(Protein of unknown function DUF48)|interpro:IPR019857|dip:DIP-48307N	go:"GO:0042802"(identical protein binding)|refseq:WP_003139228.1|rcsb pdb:3GOD|go:"GO:0003677"(DNA binding)|go:"GO:0004520"(endodeoxyribonuclease activity)|go:"GO:0046872"(metal ion binding)|go:"GO:0051607"(defense response to virus)|go:"GO:0043571"(maintenance of CRISPR repeat elements)|interpro:IPR002729(Protein of unknown function DUF48)|interpro:IPR019857|dip:DIP-48307N	psi-mi:"MI:0465"(dip)	comment:"\"DIP protein Q02ML7 original sequence version: 17\""	comment:"\"DIP protein Q02ML7 original sequence version: 17\""	curation depth:imex curation|full coverage:Only protein-protein interactions	taxid:562(ecolx)|taxid:562(Escherichia coli)	-	2017/08/06	2017/08/10	rogid:TlEEJREvhb0X6fjXdraP5xCiYoo208963	rogid:TlEEJREvhb0X6fjXdraP5xCiYoo208963	rigid:DVtPlBwkTsJwRwOIByZQjwJtJLI	false	-	-	-	0	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprotkb:Q02MM2	uniprotkb:Q02ML9	intact:EBI-15924852	intact:EBI-15924821	psi-mi:cas6_pseab(display_long)|uniprotkb:cas6f(gene name)|psi-mi:cas6f(display_short)|uniprotkb:csy4(gene name synonym)|uniprotkb:PA14_33300(locus name)	psi-mi:csy1_pseab(display_long)|uniprotkb:csy1(gene name)|psi-mi:csy1(display_short)|uniprotkb:PA14_33330(locus name)	psi-mi:"MI:0826"(x ray scattering)	Wiedenheft et al. (2011)	pubmed:21536913|doi:10.1073/pnas.1102716108|imex:IM-17673	taxid:208963(pseab)|taxid:208963("Pseudomonas aeruginosa (strain UCBPP-PA14)")	taxid:208963(pseab)|taxid:208963("Pseudomonas aeruginosa (strain UCBPP-PA14)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0465"(DIP)	intact:EBI-15924872|imex:IM-17673-1|dip:DIP-189008E	intact-miscore:0.73	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	rcsb pdb:5UZ9|rcsb pdb:6B44|rcsb pdb:6B45|rcsb pdb:6B46|rcsb pdb:6B47|rcsb pdb:6B48|refseq:WP_016254196.1|rcsb pdb:2XLI|rcsb pdb:2XLJ|rcsb pdb:2XLK|rcsb pdb:4AL5|rcsb pdb:4AL6|rcsb pdb:4AL7|go:"GO:0004519"(endonuclease activity)|go:"GO:0003723"(RNA binding)|go:"GO:0043571"(maintenance of CRISPR repeat elements)|interpro:IPR013396(CRISPR-associated protein Csy4)|dip:DIP-59681N	rcsb pdb:5UZ9|rcsb pdb:6B44|rcsb pdb:6B45|rcsb pdb:6B47|rcsb pdb:6B48|refseq:WP_003139224.1|interpro:IPR013397(CRISPR-associated protein Csy1)|dip:DIP-59678N	psi-mi:"MI:0465"(dip)	comment:"\"DIP protein Q02MM2 original sequence version: 26\""|comment:"\"DIP protein Q02MM2 original sequence version: 43\""	comment:"\"DIP protein Q02ML9 original sequence version: 28\""|comment:"\"DIP protein Q02ML9 original sequence version: 44\""	curation depth:imex curation|full coverage:Only protein-protein interactions	taxid:562(ecolx)|taxid:562(Escherichia coli)	-	2017/08/07	2017/08/10	rogid:+FGXgDideJCOZAD1s+nUtC2YADI208963	rogid:98m9LNvpxc6XFOh3Rf4PhwJf+o0208963	rigid:7DZ58e2uP4RXfaiGD+PV0s5K1Mw	false	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
