"Strain","Assembly Status","Replicon","Locus Tag","RefSeq Accession","GI Number","UniProtKB Accession","UniProtKB ID","Uniparc","UniRef100 ID","UniRef90 ID","UniRef50 ID","NCBI Locus Tag","NCBI Old Locus Tag","Affymetrix","Feature Type","Coordinates","Gene Length","Gene Name","Product Description","Product Name Confidence","Estimated MW (kDa)","Estimated Isoelectric Point (pI)","Estimated Charge (ph7)",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_59220","YP_792918.1","116052603","Q02GL8","Q02GL8_PSEAB","UPI00001B256D","UniRef100_Q02GL8","UniRef90_Q9I4Y4","UniRef50_Q9I4Y4","PA14_59220","","","CDS","5275324..5276820(+)","1497","","pyocin S5","","55.9","8.48","1.76",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_18250","YP_789603.1","116051559","Q02R33","Q02R33_PSEAB","UPI00003960F5","UniRef100_S0HT85","UniRef90_Q9HY55","UniRef50_E1V8C6","PA14_18250","","","CDS","1563719..1566589(+)","2871","","phosphotransferase system enzyme I","","101.6","4.80","-32.78",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_63970","YP_793304.1","116052986","Q02FI2","Q02FI2_PSEAB","UPI0000396ECD","UniRef100_S0HFM8","UniRef90_Q9HUX2","UniRef50_U2ERQ0","PA14_63970","","","CDS","5700625..5701779(+)","1155","","hypothetical protein","","42.7","10.21","14.32",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_23100","YP_790000.1","116051169","Q02PY6","Q02PY6_PSEAB","UPI00000C593C","UniRef100_Q9HZ54","UniRef90_Q9HZ54","UniRef50_A4ESS1","PA14_23100","","","CDS","2003101..2003538(-)","438","","hypothetical protein","","16.9","4.67","-7.31",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_69040","YP_793700.1","116053375","Q02ED6","Q02ED6_PSEAB","UPI0000397038","UniRef100_Q02ED6","UniRef90_A6VE02","UniRef50_M1FJ63","PA14_69040","","","CDS","6156721..6157332(+)","612","","5-formyltetrahydrofolate cyclo-ligase","","23.1","11.95","22.92",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_28030","YP_790389.1","116050790","","","","","","","PA14_28030","","","CDS","2426013..2426498(-)","486","","hypothetical protein","","17.9","8.91","4.10",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_32905","YP_790784.1","116054430","Q02MQ2","Q02MQ2_PSEAB","UPI0000E44A7C","UniRef100_Q02MQ2","UniRef90_Q02MQ2","UniRef50_B7V8L2","PA14_32905","","","CDS","2878349..2879929(+)","1581","","hypothetical protein","","58.0","6.40","-1.83",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_37940","YP_791184.1","116050004","Q02LK2","Q02LK2_PSEAB","UPI0000396974","UniRef100_Q02LK2","UniRef90_Q9I261","UniRef50_Q9I261","PA14_37940","","","CDS","3386039..3386926(-)","888","cynR","DNA-binding transcriptional regulator CynR","","32.5","6.96","-0.13",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_42940","YP_791580.1","116049615","Q02KF6","Q02KF6_PSEAB","UPI0000E44AFF","UniRef100_W1MLH9","UniRef90_Q9I359","UniRef50_Q9I359","PA14_42940","","","CDS","3817957..3818463(-)","507","lip2.1","Lip2.1","Class 1","18.5","8.44","1.21",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_02020","YP_788320.1","116053883","Q02UR6","Q02UR6_PSEAB","UPI0000E44895","UniRef100_S0HRE8","UniRef90_V6A7C8","UniRef50_V6A7C8","PA14_02020","","","CDS","183454..184788(+)","1335","","outer membrane porin","","48.8","4.79","-15.39",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_48600","YP_792035.1","116049163","Q02J51","Q02J51_PSEAB","UPI0000E44B4B","UniRef100_Q02J51","UniRef90_A0A022P0H0","UniRef50_A0A022P0H0","PA14_48600","","","CDS","4321135..4322421(+)","1287","","AMP-binding protein","","47.4","6.32","-5.23",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_07110","YP_788718.1","116054274","Q02TL8","Q02TL8_PSEAB","UPI00000C50AA","UniRef100_W0YM38","UniRef90_W0YM38","UniRef50_W0YM38","PA14_07110","","","CDS","614888..615889(-)","1002","","ArsR family transcriptional regulator","","36.1","5.80","-6.74",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_53300","YP_792429.1","116048771","Q02I07","Q02I07_PSEAB","UPI00000C5187","UniRef100_W0YMI8","UniRef90_A6VAD1","UniRef50_B9KDK9","PA14_53300","","","CDS","4723858..4724457(-)","600","","alkyl hydroperoxide reductase","","21.8","5.08","-7.38",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_11960","YP_789108.1","116052049","Q02SH8","Q02SH8_PSEAB","UPI0000396251","UniRef100_Q02SH8","UniRef90_Q02SH8","UniRef50_G8PY04","PA14_11960","","","CDS","1033659..1034972(-)","1314","","hypothetical protein","","47.1","10.39","12.07",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_58110","YP_792823.1","116052510","Q02GW3","Q02GW3_PSEAB","UPI000039639C","UniRef100_Q02GW3","UniRef90_Q9HVU3","UniRef50_Q88PB4","PA14_58110","","","CDS","5173724..5174329(-)","606","","Maf-like protein","","21.0","4.74","-4.88",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_17050","YP_789507.1","116051654","Q02RC9","Q02RC9_PSEAB","UPI00000C5AA5","UniRef100_W0YTW9","UniRef90_A6V1D1","UniRef50_A6V1D1","PA14_17050","","","CDS","1462062..1462847(-)","786","map","methionine aminopeptidase","","29.1","6.29","-4.53",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_62790","","","","","","","","","PA14_62790","","","tRNA","5604020..5604093(-)","74","","tRNA-Met","","","","",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_21940","YP_789904.1","116051264","Q02Q82","Q02Q82_PSEAB","UPI0000396018","UniRef100_Q02Q82","UniRef90_Q9HYY9","UniRef50_D5V8U3","PA14_21940","","","CDS","1908686..1909495(-)","810","","hypothetical protein","","30.0","6.11","-8.89",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_67830","YP_793606.1","116053283","Q02EN0","Q02EN0_PSEAB","UPI0000396FE5","UniRef100_Q02EN0","UniRef90_B7V3M9","UniRef50_B7V3M9","PA14_67830","","","CDS","6056593..6058074(+)","1482","","hypothetical protein","","54.3","4.59","-21.10",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_26880","YP_790297.1","116050880","Q02P39","Q02P39_PSEAB","UPI0000395F18","UniRef100_S0IIE3","UniRef90_A6V3L4","UniRef50_A9H9M3","PA14_26880","","","CDS","2338187..2339080(+)","894","bvlR","BvlR","Class 1","33.7","7.29","1.23",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_72840","YP_793999.1","116053672","Q02DI7","Q02DI7_PSEAB","UPI00000C6050","UniRef100_W0Z0Z6","UniRef90_W0Z0Z6","UniRef50_F6ACY1","PA14_72840","","","CDS","6486815..6487573(-)","759","","short-chain dehydrogenase","","26.9","5.77","-2.41",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_31610","YP_790688.1","116050493","Q02MZ8","Q02MZ8_PSEAB","UPI0000395DF2","UniRef100_A0A077JVG1","UniRef90_B7V700","UniRef50_C1D223","PA14_31610","","","CDS","2745827..2746870(-)","1044","","TerC family protein","","38.8","7.94","3.33",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_36690","YP_791088.1","116050098","Q02LU8","Q02LU8_PSEAB","UPI000045D282","UniRef100_Q02LU8","UniRef90_Q02LU8","UniRef50_Q8ZQP4","PA14_36690","","","CDS","3267587..3268792(+)","1206","","cardiolipin synthase 2","","46.5","10.22","17.74",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_41790","YP_791484.1","116049711","Q02KQ2","Q02KQ2_PSEAB","UPI00000C5484","UniRef100_W0YMW9","UniRef90_A6V765","UniRef50_A4XVC7","PA14_41790","","","CDS","3729757..3730194(-)","438","","hypothetical protein","","14.5","4.67","-4.29",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_00800","YP_788224.1","116053789","Q02V12","Q02V12_PSEAB","UPI00000C4F15","UniRef100_W0YLY9","UniRef90_A0A086C3L0","UniRef50_R9V099","PA14_00800","","","CDS","78396..78671(+)","276","","hypothetical protein","","10.0","9.01","4.10",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_47340","YP_791939.1","116049258","Q02JE7","Q02JE7_PSEAB","UPI0000E44B3F","UniRef100_S0IXC9","UniRef90_Q9I438","UniRef50_Q9I438","PA14_47340","","","CDS","4216673..4217134(-)","462","","HIT family protein","","17.0","11.22","6.09",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_05870","YP_788623.1","116054179","Q02TW3","Q02TW3_PSEAB","UPI000045D408","UniRef100_U8MJ08","UniRef90_Q9I668","UniRef50_Q6FDC2","PA14_05870","","","CDS","518907..520529(-)","1623","","phosphate transporter","","56.9","9.53","9.30",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_52120","YP_792337.1","116048862","Q02I99","Q02I99_PSEAB","UPI0000E44B7E","UniRef100_B7UXZ5","UniRef90_B7UXZ5","UniRef50_B7UXZ5","PA14_52120","","","CDS","4621825..4622016(+)","192","","hypothetical protein","","7.4","6.51","-1.08",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_10790","YP_789012.1","116052144","Q02SS4","Q02SS4_PSEAB","UPI000039629D","UniRef100_Q02SS4","UniRef90_P24735","UniRef50_P85302","PA14_10790","","","CDS","932631..933824(-)","1194","ampC","beta-lactamase","","43.5","8.82","4.38",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_56960","YP_792727.1","116052416","Q02H59","Q02H59_PSEAB","UPI0000396360","UniRef100_Q02H59","UniRef90_Q02H59","UniRef50_Q88PF0","PA14_56960","","","CDS","5076593..5077387(+)","795","","hypothetical protein","","29.1","9.95","9.78",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_15880","YP_789411.1","116051750","Q02RM5","Q02RM5_PSEAB","UPI00000C5AF3","UniRef100_W0YWN7","UniRef90_A6V115","UniRef50_A6V115","PA14_15880","","","CDS","1353267..1353461(+)","195","","hypothetical protein","","7.0","5.78","-0.93",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_61640","YP_793122.1","116052805","Q02G14","Q02G14_PSEAB","UPI0000396451","UniRef100_Q02G14","UniRef90_Q9HVD2","UniRef50_Q9HVD2","PA14_61640","","","CDS","5499831..5501276(+)","1446","phr","deoxyribodipyrimidine photolyase","","54.7","8.67","8.41",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_20840","YP_789810.1","116051357","Q02QH6","Q02QH6_PSEAB","UPI000039605F","UniRef100_Q02QH6","UniRef90_A6V286","UniRef50_A6V286","PA14_20840","","","CDS","1793623..1794639(+)","1017","","hypothetical protein","","38.7","7.91","3.62",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_66630","YP_793510.1","116053189","Q02EX6","Q02EX6_PSEAB","UPI0000E44C56","UniRef100_Q02EX6","UniRef90_Q02EX6","UniRef50_Q2S9Q3","PA14_66630","","","CDS","5949302..5949826(-)","525","pilP","type 4 fimbrial biogenesis protein PilP","","19.2","9.74","4.20",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_25610","YP_790201.1","116050974","Q02PD5","Q02PD5_PSEAB","UPI0000E449E7","UniRef100_Q02PD5","UniRef90_Q9HZN2","UniRef50_Q4ZVY2","PA14_25610","","","CDS","2239721..2240299(-)","579","","Maf-like protein","","21.1","5.34","-4.86",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_71640","YP_793903.1","116053576","Q02DT3","Q02DT3_PSEAB","UPI000045D31E","UniRef100_W0Z0N1","UniRef90_W0Z0N1","UniRef50_Q4K3J8","PA14_71640","","","CDS","6381099..6382007(-)","909","","LysR family transcriptional regulator","","33.5","7.12","0.33",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_30460","YP_790594.1","116050587","Q02N92","Q02N92_PSEAB","UPI0000395E4B","UniRef100_W0YQQ1","UniRef90_W5IRQ3","UniRef50_F4H3B1","PA14_30460","","","CDS","2637996..2639063(+)","1068","","flavin-dependent oxidoreductase","","38.6","6.61","-1.83",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_35570","YP_790992.1","116050191","Q02M44","Q02M44_PSEAB","UPI0000396A45","UniRef100_U8NGC4","UniRef90_Q9I1M5","UniRef50_Q1IB69","PA14_35570","","","CDS","3160765..3161766(-)","1002","pslN","hypothetical protein","","37.9","10.19","17.50",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_40610","YP_791392.1","116049801","Q02KZ4","Q02KZ4_PSEAB","UPI00003968A1","UniRef100_Q02KZ4","UniRef90_Q9I2P6","UniRef50_A9CHW3","PA14_40610","","","CDS","3624953..3625195(+)","243","","hypothetical protein","","8.7","7.51","0.68",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_46240","YP_791843.1","116049354","Q02JP3","Q02JP3_PSEAB","UPI000045D141","UniRef100_S0J215","UniRef90_Q9I3T6","UniRef50_Q9I3T6","PA14_46240","","","CDS","4111189..4113612(+)","2424","","hypothetical protein","","86.4","8.82","4.86",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_04660","YP_788527.1","116054084","Q02U59","Q02U59_PSEAB","UPI0000E448BC","UniRef100_Q02U59","UniRef90_Q02U59","UniRef50_Q02U59","PA14_04660","","","CDS","414409..415233(+)","825","","hypothetical protein","","30.4","5.80","-5.96",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_51050","YP_792243.1","116048955","","","","","","","PA14_51050","","","CDS","4535213..4536802(-)","1590","","aldehyde dehydrogenase","","57.3","6.27","-4.01",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_09570","YP_788916.1","116052240","Q02T20","Q02T20_PSEAB","UPI00003962EA","UniRef100_S0HVC1","UniRef90_Q9HWH8","UniRef50_Q9HWH8","PA14_09570","","","CDS","822871..823725(-)","855","","LysR family transcriptional regulator","","30.7","6.52","-1.70",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_55710","YP_792631.1","116052320","Q02HF5","Q02HF5_PSEAB","UPI00000C5C97","UniRef100_W0YW11","UniRef90_B7UZ65","UniRef50_B7UZ65","PA14_55710","","","CDS","4972197..4972880(-)","684","","hypothetical protein","","24.8","5.17","-4.49",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_14690","YP_789315.1","116051842","Q02RX1","Q02RX1_PSEAB","UPI0000E4492E","UniRef100_W0YWY4","UniRef90_Q9HXI5","UniRef50_C1DE71","PA14_14690","","","CDS","1252142..1252915(+)","774","","methyltransferase","","28.5","6.17","-3.43",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_60460","YP_793027.1","116052710","Q02GA9","RL21_PSEAB","UPI00000C5D67","UniRef100_B7V0B1","UniRef90_B7V0B1","UniRef50_B7V0B1","PA14_60460","","","CDS","5388778..5389089(-)","312","rplU","50S ribosomal protein L21","","11.7","10.58","7.43",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_19680","YP_789715.1","116051452","Q02QS1","Q02QS1_PSEAB","UPI00000C5A0C","UniRef100_W0YT81","UniRef90_W0YT81","UniRef50_Q1I4Z4","PA14_19680","","","CDS","1698525..1698914(+)","390","","hypothetical protein","","14.2","11.62","5.19",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_65350","YP_793414.1","116053095","Q02F72","MUTL_PSEAB","UPI000045D4C5","UniRef100_Q02F72","UniRef90_A6VD59","UniRef50_Q88DD1","PA14_65350","","","CDS","5821170..5823071(-)","1902","mutL","DNA mismatch repair protein","","69.8","6.52","-5.26",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_24445","YP_790106.1","116054423","Q02PN0","Q02PN0_PSEAB","UPI0000E449D7","UniRef100_Q02PN0","UniRef90_Q9HZE0","UniRef50_Q9HZE0","PA14_24445","","","CDS","2130044..2134906(+)","4863","gdhB","NAD-dependent glutamate dehydrogenase","","182.7","6.10","-20.05",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_70470","YP_793812.1","116053485","Q02E24","Q02E24_PSEAB","UPI00000C5FAE","UniRef100_Q9HTM0","UniRef90_D7HTS2","UniRef50_D7HTS2","PA14_70470","","","CDS","6279150..6281255(+)","2106","spoT","guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase","","78.9","9.35","17.81",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_29260","YP_790499.1","116050681","Q02NI7","Q02NI7_PSEAB","UPI00000C57B4","UniRef100_W0YTV7","UniRef90_A6V8E0","UniRef50_C1DF31","PA14_29260","","","CDS","2531797..2532690(+)","894","","transcriptional regulator","","33.2","8.81","6.98",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_34300","YP_790896.1","116050287","Q02ME0","Q02ME0_PSEAB","UPI00000C5681","UniRef100_Q9I1D1","UniRef90_B7V8X5","UniRef50_Q4KK42","PA14_34300","","","CDS","3050054..3051271(-)","1218","","DszC family monooxygenase","","43.9","6.87","-0.63",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_39390","YP_791296.1","116049895","Q02L90","Q02L90_PSEAB","UPI0000396904","UniRef100_Q02L90","UniRef90_B7VAS9","UniRef50_B7J703","PA14_39390","","","CDS","3505040..3506527(-)","1488","","30S ribosomal protein S6 modification protein","","57.0","5.69","-9.27",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_44960","YP_791747.1","116049450","Q02JY9","Q02JY9_PSEAB","UPI00000C53B3","UniRef100_Q9I3K6","UniRef90_Q9I3K6","UniRef50_Q8GEC0","PA14_44960","","","CDS","4008578..4008907(-)","330","","hypothetical protein","","12.6","8.77","2.89",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_03400","YP_788432.1","116053990","","","","","","","PA14_03400","","","CDS","312167..312499(-)","333","","hypothetical protein","","12.8","8.72","2.41",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_49890","YP_792147.1","116049051","Q02IT9","Q02IT9_PSEAB","UPI000045D0B2","UniRef100_Q02IT9","UniRef90_W0YL25","UniRef50_G8Q662","PA14_49890","","","CDS","4435431..4436738(+)","1308","tpbB","diguanylate cyclase TpbB","Class 1","47.5","6.33","-4.88",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_08450","YP_788829.1","116054384","Q02TA7","Q02TA7_PSEAB","UPI000045D456","UniRef100_S0I1V1","UniRef90_Q9I5R2","UniRef50_Q9I5R2","PA14_08450","","","CDS","723065..724147(-)","1083","","hypothetical protein","","37.8","4.34","-16.18",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_54660","YP_792541.1","116048659","Q02HP5","Q02HP5_PSEAB","UPI000045D029","UniRef100_S0IYB8","UniRef90_A0A022P8L4","UniRef50_E2XN63","PA14_54660","","","CDS","4845568..4846671(+)","1104","","enoyl-CoA hydratase/isomerase","","40.6","5.13","-10.76",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_13450","YP_789220.1","116051937","Q02S66","Q02S66_PSEAB","UPI0000396206","UniRef100_S0HUC4","UniRef90_A0A077JJB1","UniRef50_Q1LG58","PA14_13450","","","CDS","1156914..1157867(-)","954","","transmembrane sensor","","34.9","10.35","7.90",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_59410","YP_792934.1","116052619","","","","","","","PA14_59410","","","CDS","5290815..5291081(-)","267","","hypothetical protein","","9961.2","3.77","-10.83",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_18480","YP_789619.1","116051544","Q02R17","Q02R17_PSEAB","UPI00000B1C1E","UniRef100_W0YWJ7","UniRef90_Q51372","UniRef50_Q51372","PA14_18480","","","CDS","1585123..1586547(-)","1425","algX","alginate biosynthesis protein AlgX","","52.5","7.58","2.02",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_64200","YP_793320.1","116053002","Q02FG6","PUR9_PSEAB","UPI0000396EDB","UniRef100_Q02FG6","UniRef90_A6VCW0","UniRef50_B7LAV3","PA14_64200","","","CDS","5719711..5721318(+)","1608","purH","bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase","","57.7","6.45","-3.48",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_23310","YP_790016.1","116051153","Q02PX0","Q02PX0_PSEAB","UPI0000395FD7","UniRef100_Q02PX0","UniRef90_B7VAL5","UniRef50_Q0VNQ3","PA14_23310","","","CDS","2020960..2023200(+)","2241","","bifunctional cyclohexadienyl dehydrogenase/ 3-phosphoshikimate 1-carboxyvinyltransferase","","79.3","5.97","-12.90",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_69250","YP_793716.1","116053391","Q02EC0","Q02EC0_PSEAB","UPI00000C5F70","UniRef100_W0Z037","UniRef90_A6VE20","UniRef50_X1PTE9","PA14_69250","","","CDS","6178084..6178674(+)","591","","hypothetical protein","","22.1","10.43","10.70",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_28200","YP_790404.1","116050775","Q02NT2","Q02NT2_PSEAB","UPI0000395ECE","UniRef100_Q02NT2","UniRef90_Q9I068","UniRef50_Q4K6P3","PA14_28200","","","CDS","2441012..2441449(+)","438","","hypothetical protein","","15.0","9.13","2.91",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_33130","YP_790800.1","116050383","Q02MN6","Q02MN6_PSEAB","UPI000045D2F8","UniRef100_A0A077JVY0","UniRef90_A0A022NSI4","UniRef50_A0A022NSI4","PA14_33130","","","CDS","2900290..2902275(+)","1986","","cation-transporting P-type ATPase","","68.6","6.24","-7.79",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_38160","YP_791200.1","116049989","Q02LI6","Q02LI6_PSEAB","UPI000045D256","UniRef100_A0A077JWM8","UniRef90_A0A077JWM8","UniRef50_Q9KKU8","PA14_38160","","","CDS","3404017..3404775(+)","759","","hypothetical protein","","27.2","9.34","6.78",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_43130","YP_791596.1","116049599","Q02KE0","Q02KE0_PSEAB","UPI000045D1A8","UniRef100_Z2DRL1","UniRef90_Q9I371","UniRef50_D7HY33","PA14_43130","","","CDS","3841678..3842844(-)","1167","","aminotransferase","","43.2","5.50","-6.36",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_43810","YP_791651.1","116049545","Q02K85","Q02K85_PSEAB","UPI000045D191","UniRef100_S0IY44","UniRef90_A0A022P1D2","UniRef50_A0A022P1D2","PA14_43810","","","CDS","3900268..3901569(+)","1302","","cytochrome c","","46.2","7.91","4.18",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_02250","YP_788336.1","116053899","Q02UQ0","Q02UQ0_PSEAB","UPI0000E44896","UniRef100_Q02UQ0","UniRef90_Q02UQ0","UniRef50_Q02UQ0","PA14_02250","","","CDS","201007..202926(-)","1920","cheA","two-component sensor","","68.9","4.52","-37.63",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_48790","YP_792051.1","116049147","Q02J35","Q02J35_PSEAB","UPI000045D0DB","UniRef100_W0YNZ5","UniRef90_A6V8Z8","UniRef50_A0A0D0TEH3","PA14_48790","","","CDS","4337557..4338090(-)","534","","lipoprotein","","19.0","10.70","9.64",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_07330","YP_788734.1","116054290","Q02TK2","Q02TK2_PSEAB","UPI00000C50B8","UniRef100_W0YLY7","UniRef90_W0YLY7","UniRef50_Q8KC46","PA14_07330","","","CDS","630110..630463(-)","354","","hypothetical protein","","13.3","9.68","4.43",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_53500","YP_792445.1","116048755","Q02HZ1","Q02HZ1_PSEAB","UPI00000C517C","UniRef100_W0YP17","UniRef90_A6VAE6","UniRef50_Q9XAX8","PA14_53500","","","CDS","4743296..4744009(-)","714","","hypothetical protein","","24.7","8.98","3.40",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_12140","YP_789124.1","116052033","Q02SG2","Q02SG2_PSEAB","UPI0000E44903","UniRef100_A0A0C6EMX2","UniRef90_A6V0B5","UniRef50_Q2T0E3","PA14_12140","","","CDS","1049398..1050291(-)","894","","transcriptional regulator","","32.5","7.45","0.64",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_58320","YP_792839.1","116052526","Q02GU7","Q02GU7_PSEAB","UPI00000C5D36","UniRef100_W0Z185","UniRef90_A6VBK9","UniRef50_Q48E16","PA14_58320","","","CDS","5192561..5193829(-)","1269","","two-component sensor","","46.7","6.73","-1.54",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_17250","YP_789523.1","116051638","Q02RB3","Q02RB3_PSEAB","UPI000039612A","UniRef100_W1MG38","UniRef90_W0YWV4","UniRef50_A8TAF1","PA14_17250","","","CDS","1477787..1479202(+)","1416","","amino acid permease","","50.4","7.97","2.31",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_62970","YP_793225.1","116052908","Q02FR1","DNAK_PSEAB","UPI00001295F4","UniRef100_Q02FR1","UniRef90_Q02FR1","UniRef50_P38646","PA14_62970","","","CDS","5619127..5621040(-)","1914","dnaK","molecular chaperone DnaK","","68.4","4.53","-29.31",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_22120","YP_789920.1","116051249","Q02Q66","Q02Q66_PSEAB","UPI0000E449A6","UniRef100_Q02Q66","UniRef90_Q02Q66","UniRef50_Q02Q66","PA14_22120","","","CDS","1929042..1931366(-)","2325","","hypothetical protein","","83.2","10.33","17.96",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_68040","YP_793621.1","116053297","Q02EL5","Q02EL5_PSEAB","UPI000045D52A","UniRef100_S0HW67","UniRef90_B7V3P4","UniRef50_W6KBF6","PA14_68040","","","CDS","6070863..6071600(-)","738","","short-chain dehydrogenase","","26.2","6.17","-4.66",""
